category,content,
식품, 요기요,
교통, 카카오택시,
여가, PC방,
고정지출, 영남 에너지 서비스,
쇼핑, 무신사,
고정지출, 에스케이브로드밴드주,
식품, 배달의민족,
식품," 피자나라치킨공주	",
식품, 지코바양념치킨,
식품, BHC,
식품, MEGA MGC COFFEE,
식품, 보배반점,
식품, 디저트 39,
식품, 교촌치킨,
식품, 텐퍼센트스페셜티커피,
식품, 79파운야드,
식품, 아주커 치킨,
식품, 반올림피자샵,
식품, 한솥,
식품, 가마로강정,
식품, 라무진,
식품, 굽네치킨,
식품, 커스텀커피,
식품, 마왕족발,
식품, 최고당 돈가스,
식품, BBQ,
식품, 김순덕원조부안집,
식품, 원할머니,
식품, 곱분이곱창,
식품, 선비꼬마김밥,
식품, 달리는커피,
식품, 덮덮밥,
식품, 청년피자,
식품, 에그드랍,
식품, 이삭토스트,
식품, 고기극찬,
식품, 역전할머니맥주1982,
식품, 삼첩분식,
식품, 멕시카나,
식품, 맘스터치,
식품, 정직유부,
식품, 신전떡복이,
식품, 네네치킨,
식품, 배스킨라빈스,
식품, 자담치킨,
식품, 벌크커피,
식품, 미카도스시,
식품, 군자대한곱창,
식품, 서가앤쿡,
식품, 불닭발땡초동엽기떡볶이,
식품, 63계,
식품, 치킨더홈,
식품, 페리카나,
식품, 매머드익스프레스,
식품, 땅스부대찌개,
식품, 써브웨이,
식품, 인생극장,
식품, 설동궁찜닭,
식품, 미소야,
식품, 본도시락,
식품, 설빙,
식품, 노브랜드 버거,
식품, 짬뽕지존,
식품, 육대장,
식품, 인생닭강정,
식품, 맛찬들왕소금구이,
식품, 피자마루,
식품, 닥엔돈스,
식품, 본죽 & 비빔밥,
식품, 카페051,
식품, 세광양대창,
식품, 던킨/던킨도너츠,
식품, 오복오봉집,
식품, KFC,
식품, 고기듬뿍 대왕비빔밥,
식품, 더벤티,
식품, 국제통닭,
식품, 이비가짬뽕,
식품, 송주불냉면앤칼국수,
식품, 핵밥,
식품, 웅이네 오돌뼈,
식품, 빽다방,
식품, 채선당도시락 & 샐러드,
식품, 하남돼지집,
식품, 컴포즈커피,
식품, 수유리우동집,
식품, 경양카츠,
식품, 구구족,
식품, 크리스피크림,
식품, 우리할매 떡볶이,
식품, 걸작떡볶이치킨,
식품, 청년다방,
식품, 족발양시장,
식품, 정통집,
식품, 더리터,
식품, 자가제빵 선명희피자,
식품, 라라코스트,
식품, 공차,
식품, 얌샘김밥,
식품, 남다른감자탕,
식품, 송담추어탕,
식품, 달토끼의 떡볶이 흡입구역,
식품, 막창도둑,
식품, 이디야커피,
식품, 빅스타피자,
식품, 맛닭꼬,
식품, 담소 소사골 순대 육개장,
식품, 땡겨요,
식품, 쿠팡이츠,
교통, 카카오모빌리티,
교통, 체크후불교통출금,
교통, 카카오페이(택시),
고정지출, 전기료,
고정지출, LGU+인터넷,
식품," 씨유(CU)	",
식품, 지에스(GS)25,
식품, 세븐일레븐,
식품, 이마트24,
식품, 투썸플레이스,
식품, 스타벅스,
식품, 메가커피,
식품, 폴바셋,
식품, 파스쿠찌,
식품, 커피빈,
식품, 할리스,
식품, 매머드커피,
식품, 카페베네,
식품, 탐앤탐스,
식품, 달콤커피,
식품, 커피베이,
식품, 커피에반하다,
식품, 커피나무,
식품, 커피스미스,
식품, 드롭탑,
식품, 만랩커피,
식품, 커피명가,
식품, 공차,
식품, 마시그레이,
식품, 봄봄,
식품, 더벤티,
식품, 투다리,
식품, 포차천국,
식품, 생활맥주,
식품, 뉴욕야시장,
식품, 크라운호프보리장인,
식품, 삼구포차,
식품, 오사카부루스,
식품, 경성주막,
식품, 여가도맥주,
식품, 달빛경성술집,
식품, 고기,
식품, 채소,
식품, 과일,
식품, 양념,
식품, 조미료,
식품, 어류,
식품, 해산물,
식품, 유제품,
식품, 빵,
식품, 곡물,
식품, 밥,
식품, 면,
식품, 죽,
식품, 스프,
식품, 소스,
식품, 음식,
식품, 요리,
식품, 조리,
식품, 레시피,
식품, 디저트,
식품, 초콜릿,
식품, 과자,
식품, 간식,
식품, 주스,
식품, 커피,
식품, 맥주,
식품, 소주,
식품, 조개,
식품, 새우,
식품, 게,
식품, 오징어,
식품, 문어,
식품, 꽃게,
식품, 해물,
식품, 연어,
식품, 소시지,
식품, 소소기,
식품, 돼지고기,
식품, 닭고기,
식품, 양고기,
식품, 오리고기,
교통, 티머니,
교통, 한국철도공사,
교통, 대한항공,
교통, 티웨이항공,
교통, 아시아나,
교통, 피치항공,
교통, 제주항공,
교통, 에어부산,
교통, 에어서울,
교통, 진에어,
교통, 이스타항공,
쇼핑, 쿠팡,
쇼핑, 네이버,
쇼핑, G마켓,
쇼핑, 11번가,
여가, 라이또PC방,
여가, 스타덤PC,
여가, IRIS POP(아이리스팝),
여가, 맥스피드PC,
여가, 더엑스쿡PC방,
여가, 크라우드PC방,
여가, 제너스PC,
여가, 피에스타PC방,
여가, 해피로PC,
여가, 앤유(nu)PC방,
여가, CGV,
여가, 롯데시네마,
여가, 메가박스,
여가, 넷플릭스,
여가, 디즈니플러스,
여가, 티빙,
여가, 왓챠,
여가, 애플 TV+,
여가, 아마존 프라임 비디오,
여가, 티켓링크,
여가, 인터파크,
여가, 예스25,
여가, 멜론,
여가, 벅스,
여가, 플로,
여가, 지니 뮤직,
여가, 네이버 바이브 뮤직,
여가, 소리바다,
여가, 스포티파이,
여가, 애플뮤직,
여가, YouTubePremium,
여가, 수노래방,
여가, 악쓰는하마코인노래연습장,
여가, 락휴노래연습장,
여가, 슈퍼스타코인노래연습장,
여가, 세븐스타코인노래연습장,
여가, 준코노래타운,
여가, 엔젤스코인노래연습장,
여가, 퍼펙트싱어동전노래연습장,
여가, KPOP코인노래연습장,
여가, 텐텐동전노래연습장,
여가, 더보이스코인노래연습장,
자기계발, MK휘트니스,
자기계발, 올리브짐,
자기계발, VIP휘트니스,
자기계발," 크로스핏 라임라잇	",
자기계발, 고투,
자기계발, 더스토리짐,
자기계발, 휘트니스피플,
자기계발, 에이블짐,
자기계발, JY휘트니스,
자기계발, 스포애니,
여가, 경주월드,
여가, 롯데월드,
여가, 서울랜드,
여가, 에버랜드,
여가, 레고랜드,
여가, 에코랜드,
여가, 서울어린이대공원,
여가, 캐리비안 베이,
여가, 이월드,
여가, 오션월드,
여가, 디오션워터파크,
여가, 캘리포니아비치,
여가, 롯데워터파크,
여가, 하이원리조트스키장,
여가, 용평리조트스키장,
여가, 평창휘닉스파크스키장,
여가, 비발디파크스키장,
여가, 곤지암리조트스키장,
여가, 취미,
여가, 여행,
여가, 관광,
여가, 책,
여가, 영화,
여가, 음악,
여가, 공연,
여가, 연극,
여가, 미술,
여가, 회화,
여가, 조각,
여가, 사진,
여가, 등산,
여가, 캠핑,
여가, 낚시,
여가, 스포츠,
여가, 축구,
여가, 농구,
여가, 야구,
여가, 테니스,
여가, 골프,
여가, 수영,
여가, 스노우보드,
여가, 스키,
여가, 보드게임,
여가, 카드게임,
여가, 보컬,
여가, 악기,
여가, 노래,
여가, 요리클래스,
여가, 휴식,
여가, 마사지,
여가, 스파,
여가, 온천,
여가, 바베큐,
여가, 피크닉,
여가, 휴대폰,
여가, 소셜미디어,
여가, 게임,
여가, 비디오게임,
여가, 퍼즐,
여가, 캠핑카,
여가, 동물원,
여가, 식물원,
여가, 수족관,
여가, 박물관,
여가, 역사,
여가, 문화,
여가, 예술,
여가, 체험,
여가, 승마,
쇼핑, 하프클럽,
쇼핑, SSF삽,
쇼핑, 29cm,
쇼핑, 패션플러스,
쇼핑, 더블유컨셉,
쇼핑, 에이블리,
쇼핑, 젝시믹스,
쇼핑, 이랜드몰,
쇼핑, LF몰,
쇼핑, 크림,
쇼핑, 코스트코홀세일,
쇼핑, 이마트트레이더스,
쇼핑, 이마트,
쇼핑, 홈플러스,
쇼핑, 하나로마트,
쇼핑, 메가마트,
쇼핑, 빅마켓,
쇼핑, 삼성전자,
쇼핑, LG전자,
쇼핑, 롯데하이마트,
쇼핑, 일렉트로마트,
쇼핑, 쇼핑,
쇼핑, 구매,
쇼핑, 상점,
쇼핑, 매장,
쇼핑, 할인,
쇼핑, 마트,
쇼핑, 백화점,
쇼핑, 온라인 쇼핑,
쇼핑, 쇼핑몰,
쇼핑, 세일,
쇼핑, 특가,
쇼핑, 프로모션,
쇼핑, 현금,
쇼핑, 택배,
쇼핑, 패션,
쇼핑, 의류,
쇼핑, 신발,
쇼핑, 악세사리,
쇼핑, 가방,
쇼핑, 화장품,
쇼핑, 올리브영,
쇼핑, 주얼리,
쇼핑, 시계,
쇼핑, 가전제품,
쇼핑, 전자제품,
쇼핑, 가구,
쇼핑, 가전제품,
쇼핑, 악기,
쇼핑, 음반,
쇼핑, DVD,
쇼핑, 컴퓨터,
쇼핑, 스마트폰,
쇼핑, 테블릿,
쇼핑, 마우스,
쇼핑, 키보드,
쇼핑, 그래픽카드,
쇼핑, 모니터,
고정지출, SK텔레콤,
고정지출, KT,
고정지출, LG유플러스,
고정지출, SKT 인터넷,
고정지출, KT 인터넷,
고정지출, 한전,
고정지출, 한국장학재단,
고정지출, 삼성생명,
고정지출, 한화생명,
고정지출, 미래에셋생명,
고정지출, 교보생명,
고정지출, 신한라이프,
고정지출, 흥국생명,
고정지출, 동양생명,
고정지출, 라이나생명,
고정지출, NH농협생명,
고정지출, ABL생명,
고정지출, DB생명,
고정지출," KDB생명	",
고정지출, 메트라이프생명,
고정지출, KB라이프생명,
고정지출, DGB생명,
고정지출, 푸본현대생명,
고정지출, AIA생명,
고정지출, 생명,
고정지출, 보험,
고정지출, 현대해상,
고정지출, 삼성화재,
고정지출, 농협손해보험,
고정지출, 메리츠화재,
고정지출, KB손해보험,
고정지출, DB손해보험,
고정지출, 흥국화재,
고정지출, 한화손해보험,
고정지출, 롯데손해보험,
고정지출, AIG손해보험,
고정지출, 악사손해보험,
고정지출, MG손해보험,
고정지출, 더케이손해보험,
자기계발, 교보문고,
자기계발, 예스24,
자기계발, 알라딘,
자기계발, 인터파크도서,
자기계발, 영풍문고,
자기계발, 반디앤루이스,
자기계발, 밀리의서재,
자기계발, 해커스,
자기계발, 대성마이맥,
자기계발, 메가스터디,
자기계발, 이투스,
자기계발, 영단기,
자기계발, 디쉐어,
자기계발, ECK교육,
자기계발, 시원스쿨,
자기계발, 인프런,
자기계발, 유데미,
자기계발, 클래스101,
자기계발, 책,
자기계발, 헬스,
자기계발, 피트니스,
자기계발, 독서 ,
식품, 버거킹,
교통, 지바이크,
교통, 로카모빌리티,
기타, 카카오페이,
기타, 토스페이,
교통, 쏘카,
교통, SK에너지,
교통, 현대오일뱅크,
교통, GS칼택스,
교통, S-Oil,
교통, 자동차,
교통, 버스,
교통, 지하철,
교통, 기차,
교통, 택시,
교통, 자전거,
교통, 전철,
교통, 고속도로,
교통, 주차장,
교통, 교통카드,
여가, 인생네컷,
고정지출, 월세,
고정지출, 전세,
고정지출, 대출,
고정지출, 수도요금,
고정지출, 전기요금,
고정지출, 가스비,
고정지출, 인터넷요금,
고정지출, 휴대폰요금,
고정지출, 보험료,
고정지출, 자동차 보험료,
고정지출, 건강보험료,
고정지출, 생명보험료,
고정지출, 자동차 대출,
고정지출, 신용카드 대금,
고정지출, 교육비,
고정지출, 학비,
고정지출, 유치원비,
고정지출, 어린이집,
고정지출, 학원비,
고정지출, 자동차세,
고정지출, 재산세,
고정지출, 교통세,
고정지출, 건물관리비,
고정지출, 주택보험료,
고정지출, 임대료,
